Project ID,Transaction ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,QLICI Amount,City,Standard_City,State,Standard_State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract QLICI
AK0001,1,2070000100,Non-Metropolitan,2008,"Alaska Growth Capital BIDCO, Inc.","$300,000.00 ",Aleknagik,Aleknagik,AK,Alaska,99555,Business Financing,NRE,NO,NO
AK0002,2,2020001000,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$1,008,750.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0003,3,2020000600,Metropolitan,2006,"HEDC New Markets, Inc","$977,000.00 ",Anchorage,Anchorage,AK,Alaska,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0003,4,2020000600,Metropolitan,2006,"HEDC New Markets, Inc","$2,923,000.00 ",Anchorage,Anchorage,AK,Alaska,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0003,5,2020000600,Metropolitan,2006,"HEDC New Markets, Inc","$1,161,506.00 ",Anchorage,Anchorage,AK,Alaska,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0004,6,2020001000,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$187,500.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0006,7,2020001802,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$750,000.00 ",Anchorage,Anchorage,AK,Alaska,99507,Business Financing,NRE,NO,NO
AK0007,8,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$127,500.00 ",Anchorage,Anchorage,AK,Alaska,99503,Business Financing,NRE,NO,NO
AK0008,9,2020001000,Metropolitan,2007,"USBCDE, LLC","$6,080,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0008,10,2020001000,Metropolitan,2007,"USBCDE, LLC","$2,002,700.00 ",Anchorage,Anchorage,AK,Alaska,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0009,11,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$450,000.00 ",Anchorage,Anchorage,AK,Alaska,99517,Business Financing,NRE,NO,NO
AK0010,12,2020000600,Metropolitan,2007,"Consortium America, LLC","$4,420,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0010,13,2020000600,Metropolitan,2007,"Consortium America, LLC","$1,268,960.00 ",Anchorage,Anchorage,AK,Alaska,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0011,14,2020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$225,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0012,15,2020002100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$607,500.00 ",Anchorage,Anchorage,AK,Alaska,99517,Business Financing,NRE,NO,NO
AK0013,16,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$750,000.00 ",Anchorage,Anchorage,AK,Alaska,99503,Business Financing,NRE,NO,NO
AK0014,17,2020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$206,250.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0015,18,2050000100,Non-Metropolitan,2009,Capital Impact Partners,"$10,123,526.00 ",Platinum,Platinum,AK,Alaska,99651,Business Financing,NRE,YES,NO
AK0015,19,2050000100,Non-Metropolitan,2009,Capital Impact Partners,"$2,876,474.00 ",Platinum,Platinum,AK,Alaska,99651,Business Financing,NRE,YES,NO
AK0015,20,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$4,531,532.00 ",Platinum,Platinum,AK,Alaska,99651,Business Financing,NRE,YES,NO
AK0015,21,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$4,531,532.00 ",Platinum,Platinum,AK,Alaska,99651,Business Financing,NRE,YES,NO
AK0015,22,2050000100,Non-Metropolitan,2009,"Travois New Markets, LLC","$4,570,936.00 ",Platinum,Platinum,AK,Alaska,99651,Business Financing,NRE,YES,NO
