Project ID,2010 Census Tract,"Metro/Non-Metro, 2010 Census",Origination Year,Community Development Entity (CDE) Name,Project QLICI Amount,Estimated Total Project Cost,City,Standard_City,State,Standard_State,Zip Code,Purpose of Investment,QALICB Type,Multi-CDE,Multi-Tract Project
AK0001,2070000100,Non-Metropolitan,2008,"Alaska Growth Capital BIDCO, Inc.","$300,000.00 ","$300,000.00 ",Aleknagik,Aleknagik,AK,Alaska,99555,Business Financing,NRE,NO,NO
AK0002,2020001000,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$1,008,750.00 ","$1,345,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0003,2020000600,Metropolitan,2006,"HEDC New Markets, Inc","$5,061,506.00 ","$8,694,457.00 ",Anchorage,Anchorage,AK,Alaska,99508,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
AK0004,2020001000,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$187,500.00 ","$250,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0006,2020001802,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$750,000.00 ","$1,180,000.00 ",Anchorage,Anchorage,AK,Alaska,99507,Business Financing,NRE,NO,NO
AK0007,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$127,500.00 ","$150,000.00 ",Anchorage,Anchorage,AK,Alaska,99503,Business Financing,NRE,NO,NO
AK0008,2020001000,Metropolitan,2007,"USBCDE, LLC","$8,082,700.00 ","$14,426,408.00 ",Anchorage,Anchorage,AK,Alaska,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0009,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$450,000.00 ","$600,000.00 ",Anchorage,Anchorage,AK,Alaska,99517,Business Financing,NRE,NO,NO
AK0010,2020000600,Metropolitan,2007,"Consortium America, LLC","$5,688,960.00 ","$16,629,424.00 ",Anchorage,Anchorage,AK,Alaska,99501,Real Estate–Rehabilitation–Commercial,RE,NO,NO
AK0011,2020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$225,000.00 ","$300,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0012,2020002100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$607,500.00 ","$875,000.00 ",Anchorage,Anchorage,AK,Alaska,99517,Business Financing,NRE,NO,NO
AK0013,2020001900,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$750,000.00 ","$1,000,000.00 ",Anchorage,Anchorage,AK,Alaska,99503,Business Financing,NRE,NO,NO
AK0014,2020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$206,250.00 ","$390,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0015,2050000100,Non-Metropolitan,2009,Multi-CDE Project,"$40,300,000.00 ","$41,200,000.00 ",Platinum,Platinum,AK,Alaska,99651,Business Financing,NRE,YES,YES
AK0016,2020001100,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$1,500,000.00 ","$2,250,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
AK0017,2020000600,Metropolitan,2006,"Alaska Growth Capital BIDCO, Inc.","$296,250.00 ","$395,000.00 ",Anchorage,Anchorage,AK,Alaska,99501,Business Financing,NRE,NO,NO
